"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"IC_BME688";1;"BME688";;;
2;"U1";"RPi_Pico_SMD_TH";1;"Pico";;;
3;"U6";"SCD41-D-R1";1;"SCD41-D-R1";;;
4;"R2";"R_0805_2012Metric";1;"4.7";;;
5;"JP3";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"5V_RTC_Bridge";;;
6;"BT1";"BH-74G-5-P";1;"CR2032 RTC Battery";;;
7;"Sensor Extension";"B5B-PH-SM4-TB";1;"Sensor_Connector";;;
8;"R11,R12";"R_0805_2012Metric";2;"4K7";;;
9;"R9";"R_0805_2012Metric";1;"1K";;;
10;"SD Card";"GCT_MEM2061-01-188-00-A_REVA";1;"MEM2061-01-188-00-A_REVA";;;
11;"R8";"R_0805_2012Metric";1;"1k";;;
12;"C2,C6,C11";"C_0805_2012Metric";3;"1uF";;;
13;"U7";"SGP40-D-R4";1;"SGP40-D-R4";;;
14;"C3,C4,C5";"C_0805_2012Metric";3;"0.1uF";;;
15;"C8,C9";"C_0805_2012Metric";2;"2.2uF";;;
16;"JP5";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Sensor_LDO_Override";;;
17;"H1,H2,H3,H4";"MountingHole_2.5mm";4;"MountingHole";;;
18;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"5V_Bridge";;;
19;"C7,C10,C1";"C_0805_2012Metric";3;"10uF";;;
20;"RTC";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
21;"JP2";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";1;"3V_I2C_Bridge";;;
22;"U3";"TSL25911FN";1;"TSL25911FN";;;
23;"JP4";"SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm";1;"3V_RTC_Bridge";;;
24;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
25;"U5";"SOT-23-5";1;"AP2112K-3.3";;;
26;"R1";"R_0805_2012Metric";1;"10k";;;
